date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:56	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Apr%202020%2013:41:54%20GMT	https://themesdesign.in/stexo/layouts/vertical/specified%20parentLocale%20is%20not%20defined%20yet.%20See%20http://momentjs.com/guides/	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/specified%20parentLocale%20is%20not%20defined%20yet.%20See%20http_/momentjs.com/guides/index.html	(from https://themesdesign.in/stexo/layouts/plugins/moment/moment.js)
21:07:59	4143/4143	---M--	200	added ('OK')	image/png	etag:%225d31b167-102f%22	https://themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/saturation.png	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/saturation.png	(from https://themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.min.css)
21:08:00	504/504	---M--	200	added ('OK')	image/png	etag:%225d31b167-1f8%22	https://themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/hue.png	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/hue.png	(from https://themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.min.css)
21:08:00	488/488	---M--	200	added ('OK')	image/png	etag:%225d31b167-1e8%22	https://themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/alpha.png	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/alpha.png	(from https://themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.min.css)
21:08:00	478/478	---M--	200	added ('OK')	image/png	etag:%225d31b167-1de%22	https://themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/hue-horizontal.png	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/hue-horizontal.png	(from https://themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.min.css)
21:08:00	557/557	---M--	200	added ('OK')	image/png	etag:%225d31b167-22d%22	https://themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/alpha-horizontal.png	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/alpha-horizontal.png	(from https://themesdesign.in/stexo/layouts/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.min.css)
21:08:03	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Apr%202020%2013:42:01%20GMT	https://themesdesign.in/stexo/layouts/vertical/Edge/	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/Edge/index.html	(from https://themesdesign.in/stexo/layouts/plugins/tinymce/tinymce.min.js)
21:08:03	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Apr%202020%2013:42:01%20GMT	https://themesdesign.in/stexo/layouts/vertical/Trident/	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/vertical/Trident/index.html	(from https://themesdesign.in/stexo/layouts/plugins/tinymce/tinymce.min.js)
21:08:03	1849/1849	---M--	200	added ('OK')	image/gif	etag:%225d31b167-739%22	https://themesdesign.in/stexo/layouts/plugins/x-editable/img/loading.gif	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/plugins/x-editable/img/loading.gif	(from https://themesdesign.in/stexo/layouts/plugins/x-editable/css/bootstrap-editable.css)
21:08:03	509/509	---M--	200	added ('OK')	image/png	etag:%225d31b167-1fd%22	https://themesdesign.in/stexo/layouts/plugins/x-editable/img/clear.png	C:/My%20Web%20Sites/stexo/themesdesign.in/stexo/layouts/plugins/x-editable/img/clear.png	(from https://themesdesign.in/stexo/layouts/plugins/x-editable/css/bootstrap-editable.css)
